"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"543","life4fish","lix_2017_4",50.75149,5.686697161
"544","life4fish","lix_2017_5",50.75153313,5.687080445
"545","life4fish","lix_2017_6",50.75150684,5.68759541
"546","life4fish","lix_2017_7",50.75148052,5.688049209
"547","life4fish","lix_2017_8",50.75253076,5.68808461
"548","life4fish","lix_2017_9",50.75653414,5.681601354
"549","life4fish","mon_2017",50.651597,5.630614
"550","life4fish","mon_2017_1",50.65333544,5.630871708
"551","life4fish","mon_2017_2",50.65315174,5.630842568
"552","life4fish","mon_2017_3",50.65299572,5.630827617
"553","life4fish","mon_2017_4",50.6528806,5.631018468
"554","life4fish","mon_2017_5",50.65212592,5.630629793
"555","life4fish","mon_2017_6",50.65183518,5.630589624
"556","life4fish","mon_2017_7",50.65155875,5.630547011
"557","life4fish","mon_2017_8",50.65128226,5.630493331
"558","life4fish","mon_2017_9",50.65099485,5.630450571
