animal_project_code,station_name,latitude,longitude,habitat_type,habitat_type2,habitat_type3
dak_markiezaatsmeer,ws-25A,51.352186,3.781008,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-A1,51.3724995,3.7229828,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-A3,51.3655375,3.734487,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-15A,51.3805457,3.717259,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-15,51.386465,3.7080085,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,rel_markiezaat,51.485749,4.231882,freshwater,freshwater,freshwater
2019_grotenete,gn-14,51.138267,4.996319,freshwater,freshwater,freshwater
2019_grotenete,gn-13,51.119771,4.990306,freshwater,freshwater,freshwater
2019_grotenete,gn-11,51.09592,4.957142,freshwater,freshwater,freshwater
2019_grotenete,gn-10,51.091558,4.945793,freshwater,freshwater,freshwater
2019_grotenete,gn-9,51.081153,4.913762,freshwater,freshwater,freshwater
2019_grotenete,gn-7,51.061848,4.787587,freshwater,freshwater,freshwater
2019_grotenete,gn-6,51.078636,4.757592,freshwater,freshwater,freshwater
2019_grotenete,gn-5,51.125942,4.718199,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,gn-4,51.135075,4.664932,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,gn-3,51.130352,4.617316,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,gn-2,51.135829,4.5937,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,gn-1,51.133464,4.588822,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,bn-3,51.126391,4.571903,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,bn-2,51.117416,4.549158,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,bn-1,51.093001,4.506837,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,bn-Walem,51.07183,4.45474,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,ru-1,51.082273,4.366215,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,me-7-2b,51.1008,4.330483,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,s-9a,51.19068,4.33602,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-10a,51.235423,4.396673,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ak-41,51.239128,4.397469,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-12,51.30305,4.28731,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-53A,51.411167,4.029233,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-borssele,51.43161667,3.704916667,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-WN2,51.428174,3.462181,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-8,51.14319,4.33078,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-8a,51.14222,4.32646,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-9,51.19069,4.32954,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-STD3,51.330504,4.270161,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-42A,51.42251303,4.032860596,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-HW6,51.43484,4.02702,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-18,51.3482621,3.8147323,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-16,51.3544901,3.795027,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-12A,51.3648799,3.765539,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-15,51.386465,3.7080085,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-6,51.3913098,3.7161726,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-7,51.11414,4.24123,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,s-6,51.12267069,4.21890556,tidal_freshwater,tidal_freshwater,tidal
2019_grotenete,ws-55,51.40221,4.02998,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-13,51.4071859,3.7080883,tidal_brackish,tidal_brackish,tidal
2019_grotenete,s-11,51.29646,4.2857,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-PVTSS,51.4018055,3.7089134,tidal_brackish,tidal_brackish,tidal
2019_grotenete,ws-4,51.3970414,3.7153436,tidal_brackish,tidal_brackish,tidal
2019_grotenete,bpns-WZ,51.376167,3.178666667,marine,marine,marine
